Branch_ID|Branch_Sap|Branch_Name|Branch_Profile
001|SC01|SC PLAZA INDONESIA|100
002|SC02|SC PONDOK INDAH MALL|100
003|SC03|SC BURSA EFEK JAKARTA|100
004|SC04|SC CILANDAK TOWN SQUARE|100
005|SC05|SC MALL KELAPA GADING|100
006|SC06|SC PLAZA SENAYAN|120
007|SC07|SC TRANS TV BUILDING|100
008|SC08|SC MALL TAMAN ANGGREK|100
009|SC09|SC KEMANG VILLAGE 3|100
010|SC10|SC PASARAYA GRANDE|100
012|SC12|SC TUNJUNGAN PLAZA IV|120
013|SC13|SC SETIABUDI|100
014|SC14|SC HARD ROCK BALI|100
016|SC16|SC WISMA BNI 46|100
017|SC17|SC SKYLINE|100
018|SC18|SC MALL PURI INDAH|100
019|SC19|SC CENGKARENG AIRPORT|100
020|SC20|SC PLAZA KAMPUNG KEMANG|100
021|SC21|SC KAMOME|100
022|SC22|SC CIBUBUR JUNCTION|100
023|SC23|SC PLAZA SEMANGGI|100
024|SC24|SC SUN PLAZA MEDAN|100
025|SC25|SC BANDUNG SUPERMALL|100
026|SC26|SC PONDOK INDAH MALL 2|120
029|SC29|SC SENAYAN CITY 1|100
030|SC30|SC WISMA SUDIRMAN|100
031|SC31|SC WISMA BRI|100
033|SC33|SC NUSA DUA BALI|120
034|SC34|SC PLAZA INDONESIA EX|100
035|SC35|SC KINOKUNIYA PLAZA SENAYAN|120
037|SC37|SC CITRALAND|100
039|SC39|SC BALI DISCOVERY MALL|100
040|SC40|SC WISMA METROPOLITAN|100
041|SC41|SC CIWALK|100
042|SC42|SC BANDUNG INDAH PLAZA|100
043|SC43|SC NEW SUPERMALL KARAWACI|100
044|SC44|SC TEBET|100
045|SC45|SC SUDIRMAN FX|100
046|SC46|SC MALL KELAPA GADING I|100
047|SC47|Sun Plaza Medan|100
048|SC48|SC KM 19|100
049|SC49|SC BOTANI SQUARE|100
050|SC50|SC MARGONDA CITY|100
051|SC51|SC SENAYAN CITY 2|100
052|SC52|SC ANCOL|100
053|SC53|SC PLAZA MENTENG|100
054|SC54|SC NEW GALAXY|120
055|SC55|SC WISMA MULIA|100
056|SC56|SC PAKUWON SUPERMALL|100
057|SC57|SC RATU PRABU 2|100
058|SC58|SC TUNJUNGAN PLAZA III|100
059|SC59|SC OAKWOOD|100
060|SC60|SC SURABAYA AIRPORT|120
061|SC61|SC GRAND INDONESIA 2 KINO|120
062|SC62|SC GRAND INDONESIA 1 GF|100
063|SC63|SC KM 13.5|100
064|SC64|SC PARIS VAN JAVA|100
065|SC65|SC SURABAYA TOWN SQUARE|100
066|SC66|SC METROPOLITAN MALL|100
067|SC67|SC BALI AIRPORT|100
068|SC68|SC SUMMARECON MALL SERPONG|100
069|SC69|SC PLAZA AMBARRUKMO|100
070|SC70|SC CITYWALK|100
071|SC71|SC CENGKARENG 2F|120
072|SC72|SC KEMANG VILLAGE 1|100
073|SC73|SC PACIFIC PLACE|100
074|SC74|SC WESTLAKE VILLAGE|100
075|SC75|SC CAMBRIDGE CITY|100
076|SC76|SC RASUNA EPICENTRUM|100
077|SC77|SC PLUIT JUNCTION|100
078|SC78|SC EMPORIUM PLUIT GF|100
079|SC79|SC MALL OF INDONESIA|100
080|SC80|SC MALL ARTHA GADING|100
081|SC81|SC SAMPOERNA SQUARE|100
082|SC82|SC CENGKARENG T3|100
083|SC83|SC PLUIT VILLAGE|100
084|SC84|SC TERASKOTA|100
085|SC85|SC E-WALK BALIKPAPAN|100
086|SC86|SC SILOAM KARAWACI|100
087|SC87|SC CENTRAL PARK|100
088|SC88|SC PARAGON CITY|100
090|SC90|SC HAYAM WURUK|100
091|SC91|SC LOTUS POND UBUD|100
092|SC92|SC DENPASAR IMPERIAL|100
093|SC93|SC BOGOR REST AREA KM 38|100
094|SC94|SC KM 10|100
095|SC95|SC SILOAM KEBON JERUK|100
096|SC96|SC FATMAWATI (PETRONAS)|100
097|SC97|SC C2F DROP POINT|120
098|SC98|SC GRAHA NIAGA|100
099|SC99|SC EMPORIUM PLUIT 4F|100
100|SCA0|SC TEBET GREEN MALL|100
101|SCA1|SC PEJATEN VILLAGE|100
102|SCA2|SC SUPERMALL KARAWACI|100
103|SCA3|SC FLAVOR BLISS|100
104|SCA4|SC SENAYAN CITY 3 - LG|100
107|SCA7|SC GANDARIA CITY|100
108|SCA8|SC KEMANG SKY|100
109|SCA9|SC ARCADIA|100
110|SCB0|SC SENAYAN CITY 3 - 5F|100
111|SCB1|SC PLAZA BINTARO|100
112|SCB2|SC KM 97|100
113|SCB3|SC SOGO CENTRAL PARK|120
114|SCB4|SC BALI GALERIA|100
115|SCB5|SC BALIKPAPAN AIRPORT|100
116|SCB6|SC AREA 51|100
117|SCB7|SC SILOAM SEMANGGI|100
118|SCB8|SC KUTABEX|100
119|SCB9|SC RS PREMIER BINTARO|100
120|SCC0|SC SUNSET STAR|100
121|SCC1|SC ALLIANZ TOWER|100
122|SCC2|SC MARGONDA|100
123|SCC3|SC KUALANAMU INTERNATIONAL|120
124|SCC4|SC H TOWER|100
125|SCC5|SC WISMA HAYAM WURUK|100
126|SCC6|SC LIPPO CIKARANG|100
127|SCC7|SC SOLO PARAGON|100
128|SCC8|SC MEGAMALL BATAM|100
129|SCC9|SC TEMPO SCAN TOWER|100
130|SCD0|SC TRANS MALL|100
131|SCD1|SC BALI DOMESTIC AIRPORT|120
132|SCD2|SC TOMANG RAYA|100
133|SCD3|SC PETRA SQUARE|100
134|SCD4|SC MALL RATU INDAH|100
135|SCD5|SC THE EAST|100
136|SCD6|SC EAST COAST|100
137|SCD7|SC ATRIUM SENEN|100
138|SCD8|SC CIDENG|100
139|SCD9|SC BATAM AIRPORT|120
140|SCE0|SC SEPINGGAN AIRPORT|120
141|SCE1|SC GRAND CITY|100
142|SCE2|SC PLAZA UOB|100
143|SCE3|SC LEGIAN 101|100
144|SCE4|SC RANCH PESANGGRAHAN|100
145|SCE5|SC BALIKPAPAN PLAZA|100
146|SCE6|SC CIPUTRA WORLD|100
147|SCE7|SC KOTA KASABLANKA|100
148|SCE8|SC KUNINGAN CITY|100
149|SCE9|SC KUTA BEACHWALK I|100
150|SCF0|SC TRANS STUDIO MALL BANDUNG|100
151|SCF1|SC MAKASSAR AIRPORT|120
152|SCF2|SC KM 62|100
153|SCF3|SC HERMES PLACE|100
154|SCF4|SC KUTABEACHWALK II|100
155|SCF5|SC KM 39|100
156|SCF6|SC MALL ALAM SUTERA|100
157|SCF7|SC 1 PARK|100
158|SCF8|SC CENGKARENG 2E|120
159|SCF9|SC DEPARTURE BALI AIRPORT|120
160|SCG0|SC WISMA PONDOK INDAH|100
161|SCG1|SC MENARA THAMRIN|100
162|SCG2|SC PALEMBANG INDAH MALL|100
163|SCG3|SC BINTARO SEC IX|100
164|SCG4|SC KEMANG VILLAGE 2|100
165|SCG5|SC CENGKARENG 1A|120
166|SCG6|SC EKA HOSPITAL|100
167|SCG7|SC PALEMBANG AIRPORT|120
168|SCG8|SC GAMBIR|120
169|SCG9|SC GRIYA SANTRIAN|100
