card_no|transaction_number|disc_time|plu|flag_void|Copy_date|Branch_id|Transaction_date
|001001-01052021-1157|2021/05/01 00:00:00.000000000|900000000367|0|2021/06/07 09:53:14.677000000|001|2021/05/01 00:00:00.000000000
|001001-01052021-1158|2021/05/01 00:00:00.000000000|TLATR001|0|2021/06/07 09:53:14.677000000|001|2021/05/01 00:00:00.000000000
|001001-01052021-1159|2021/05/01 00:00:00.000000000|900000000228|0|2021/06/07 09:53:14.677000000|001|2021/05/01 00:00:00.000000000
|001002-01052021-2164|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|001|2021/05/01 00:00:00.000000000
|001002-01052021-2167|2021/05/01 00:00:00.000000000|900000000367|0|2021/06/07 09:53:14.677000000|001|2021/05/01 00:00:00.000000000
|001002-01052021-2168|2021/05/01 00:00:00.000000000|TLATR001|0|2021/06/07 09:53:14.677000000|001|2021/05/01 00:00:00.000000000
|001002-01052021-2169|2021/05/01 00:00:00.000000000|900000000256|0|2021/06/07 09:53:14.677000000|001|2021/05/01 00:00:00.000000000
|001002-01052021-2170|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|001|2021/05/01 00:00:00.000000000
|002001-01052021-1032|2021/05/01 00:00:00.000000000|900000000367|0|2021/06/07 09:53:14.677000000|002|2021/05/01 00:00:00.000000000
|002001-01052021-1032|2021/05/01 00:00:00.000000000|TADL002|0|2021/06/07 09:53:14.677000000|002|2021/05/01 00:00:00.000000000
|002001-01052021-1941|2021/05/01 00:00:00.000000000|900000000026|0|2021/06/07 09:53:14.677000000|002|2021/05/01 00:00:00.000000000
|002001-01052021-1941|2021/05/01 00:00:00.000000000|900000000108|0|2021/06/07 09:53:14.677000000|002|2021/05/01 00:00:00.000000000
|002001-01052021-1942|2021/05/01 00:00:00.000000000|900000000367|0|2021/06/07 09:53:14.677000000|002|2021/05/01 00:00:00.000000000
|002001-01052021-1942|2021/05/01 00:00:00.000000000|TMPF1|0|2021/06/07 09:53:14.677000000|002|2021/05/01 00:00:00.000000000
|002002-01052021-2757|2021/05/01 00:00:00.000000000|900000000260|0|2021/06/07 09:53:14.677000000|002|2021/05/01 00:00:00.000000000
|002002-01052021-2757|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|002|2021/05/01 00:00:00.000000000
|002002-01052021-2841|2021/05/01 00:00:00.000000000|900000000370|0|2021/06/07 09:53:14.677000000|002|2021/05/01 00:00:00.000000000
|004002-01052021-2302|2021/05/01 00:00:00.000000000|ITADL002|0|2021/06/07 09:53:14.677000000|004|2021/05/01 00:00:00.000000000
|004002-01052021-2302|2021/05/01 00:00:00.000000000|ITSGTL010|0|2021/06/07 09:53:14.677000000|004|2021/05/01 00:00:00.000000000
|004002-01052021-2460|2021/05/01 00:00:00.000000000|TIM461|0|2021/06/07 09:53:14.677000000|004|2021/05/01 00:00:00.000000000
|004002-01052021-2461|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|004|2021/05/01 00:00:00.000000000
|004002-01052021-2462|2021/05/01 00:00:00.000000000|900000000108|0|2021/06/07 09:53:14.677000000|004|2021/05/01 00:00:00.000000000
|005001-01052021-1024|2021/05/01 00:00:00.000000000|TADL002|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005001-01052021-1025|2021/05/01 00:00:00.000000000|TIM461|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005001-01052021-1025|2021/05/01 00:00:00.000000000|TVSCCB01|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005001-01052021-1026|2021/05/01 00:00:00.000000000|900000000006|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005001-01052021-1026|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005001-01052021-1955|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005001-01052021-1992|2021/05/01 00:00:00.000000000|900000000026|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005001-01052021-1992|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005002-01052021-2373|2021/05/01 00:00:00.000000000|900000000303|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005002-01052021-2373|2021/05/01 00:00:00.000000000|TIL411|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005002-01052021-2385|2021/05/01 00:00:00.000000000|900000000242|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005002-01052021-2385|2021/05/01 00:00:00.000000000|TIM461|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005005-01052021-5356|2021/05/01 00:00:00.000000000|900000000058|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|005005-01052021-5356|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|005|2021/05/01 00:00:00.000000000
|006001-01052021-1141|2021/05/01 00:00:00.000000000|TADL002|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006001-01052021-1141|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006001-01052021-1212|2021/05/01 00:00:00.000000000|900000000238|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006001-01052021-1212|2021/05/01 00:00:00.000000000|900000000370|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006002-01052021-2236|2021/05/01 00:00:00.000000000|ITADL002|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006002-01052021-2236|2021/05/01 00:00:00.000000000|TIM461|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006002-01052021-2237|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006002-01052021-2336|2021/05/01 00:00:00.000000000|900000000367|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006002-01052021-2336|2021/05/01 00:00:00.000000000|TADL002|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006002-01052021-2340|2021/05/01 00:00:00.000000000|900000000245|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006002-01052021-2340|2021/05/01 00:00:00.000000000|TIM461|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006003-01052021-3163|2021/05/01 00:00:00.000000000|TADL002|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|006003-01052021-3163|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|006|2021/05/01 00:00:00.000000000
|008001-01052021-1119|2021/05/01 00:00:00.000000000|900000000348|0|2021/06/07 09:53:14.677000000|008|2021/05/01 00:00:00.000000000
|008001-01052021-1119|2021/05/01 00:00:00.000000000|TCF531|0|2021/06/07 09:53:14.677000000|008|2021/05/01 00:00:00.000000000
|008001-01052021-1189|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|008|2021/05/01 00:00:00.000000000
|008001-01052021-1190|2021/05/01 00:00:00.000000000|900000000006|0|2021/06/07 09:53:14.677000000|008|2021/05/01 00:00:00.000000000
|008001-01052021-1191|2021/05/01 00:00:00.000000000|900000000006|0|2021/06/07 09:53:14.677000000|008|2021/05/01 00:00:00.000000000
|008001-01052021-1193|2021/05/01 00:00:00.000000000|900000000367|0|2021/06/07 09:53:14.677000000|008|2021/05/01 00:00:00.000000000
|008001-01052021-1194|2021/05/01 00:00:00.000000000|900000000367|0|2021/06/07 09:53:14.677000000|008|2021/05/01 00:00:00.000000000
|008001-01052021-1195|2021/05/01 00:00:00.000000000|900000000367|0|2021/06/07 09:53:14.677000000|008|2021/05/01 00:00:00.000000000
|008001-01052021-1196|2021/05/01 00:00:00.000000000|900000000348|0|2021/06/07 09:53:14.677000000|008|2021/05/01 00:00:00.000000000
|010001-01052021-1253|2021/05/01 00:00:00.000000000|900000000348|0|2021/06/07 09:53:14.677000000|010|2021/05/01 00:00:00.000000000
|010001-01052021-1253|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|010|2021/05/01 00:00:00.000000000
|010001-01052021-1254|2021/05/01 00:00:00.000000000|TCM142|0|2021/06/07 09:53:14.677000000|010|2021/05/01 00:00:00.000000000
|012001-01052021-1295|2021/05/01 00:00:00.000000000|TEMF002|0|2021/06/07 09:53:14.677000000|012|2021/05/01 00:00:00.000000000
|012001-01052021-1296|2021/05/01 00:00:00.000000000|TEMF002|0|2021/06/07 09:53:14.677000000|012|2021/05/01 00:00:00.000000000
|012001-01052021-1350|2021/05/01 00:00:00.000000000|900000000026|0|2021/06/07 09:53:14.677000000|012|2021/05/01 00:00:00.000000000
|012001-01052021-1351|2021/05/01 00:00:00.000000000|900000000026|0|2021/06/07 09:53:14.677000000|012|2021/05/01 00:00:00.000000000
|012002-01052021-2407|2021/05/01 00:00:00.000000000|TADL002|0|2021/06/07 09:53:14.677000000|012|2021/05/01 00:00:00.000000000
|012002-01052021-2408|2021/05/01 00:00:00.000000000|TEMF002|0|2021/06/07 09:53:14.677000000|012|2021/05/01 00:00:00.000000000
|013001-01052021-1103|2021/05/01 00:00:00.000000000|900000000348|0|2021/06/07 09:53:14.677000000|013|2021/05/01 00:00:00.000000000
|013001-01052021-1231|2021/05/01 00:00:00.000000000|TIM461|0|2021/06/07 09:53:14.677000000|013|2021/05/01 00:00:00.000000000
|017001-01052021-1534|2021/05/01 00:00:00.000000000|900000000367|0|2021/06/07 09:53:14.677000000|017|2021/05/01 00:00:00.000000000
|017001-01052021-1535|2021/05/01 00:00:00.000000000|TADL002|0|2021/06/07 09:53:14.677000000|017|2021/05/01 00:00:00.000000000
|017001-01052021-1536|2021/05/01 00:00:00.000000000|900000000348|0|2021/06/07 09:53:14.677000000|017|2021/05/01 00:00:00.000000000
|017001-01052021-1537|2021/05/01 00:00:00.000000000|900000000348|0|2021/06/07 09:53:14.677000000|017|2021/05/01 00:00:00.000000000
|017001-01052021-1538|2021/05/01 00:00:00.000000000|GSPT21|0|2021/06/07 09:53:14.677000000|017|2021/05/01 00:00:00.000000000
|017001-01052021-1539|2021/05/01 00:00:00.000000000|TWPMF21|0|2021/06/07 09:53:14.677000000|017|2021/05/01 00:00:00.000000000
